time,id,tag_id,RSSI,phase,17:22.6,activity
25:18.8,e2001d8712401320d4a0,2,-49,"174
",07:56.2,5
25:18.9,e2001d8712401320d4a0,2,-49,"174
",07:56.2,5
25:18.9,e2001d8712401320d4a0,2,-49,"174
",07:56.2,5
25:18.9,e2001d8712401320d4a0,2,-49,"174
",07:56.3,5
25:19.0,e2001d8712401320d4a0,2,-49,"174
",07:56.3,5
25:19.0,e2001d8712401320d4a0,2,-49,"171
",07:56.4,5
25:19.1,e2001d8712401320d4a0,2,-49,"171
",07:56.5,5
25:19.1,e2001d8712401320d4a0,2,-49,"174
",07:56.5,5
25:19.2,e2001d8712401320d4a0,2,-49,"174
",07:56.5,5
25:19.2,e2001d8712401320d4a0,2,-49,"171
",07:56.6,5
25:19.2,e2001d8712401320d4a0,2,-47,"174
",07:56.6,5
25:19.3,e2001d8712401320d4a0,2,-47,"168
",07:56.6,5
25:19.3,e2001d8712401320d4a0,2,-47,"174
",07:56.7,5
25:19.3,e2001d8712401320d4a0,2,-49,"174
",07:56.7,5
25:19.4,e2001d8712401320d4a0,2,-49,"171
",07:56.7,5
25:19.4,e2001d8712401320d4a0,2,-49,"171
",07:56.8,5
25:19.4,e2001d8712401320d4a0,2,-47,"174
",07:56.8,5
25:19.5,e2001d8712401320d4a0,2,-49,"174
",07:56.8,5
25:19.5,e2001d8712401320d4a0,2,-49,"174
",07:56.8,5
25:19.5,e2001d8712401320d4a0,2,-49,"174
",07:56.9,5
25:19.6,e2001d8712401320d4a0,2,-49,"174
",07:56.9,5
25:19.6,e2001d8712401320d4a0,2,-49,"0
",07:57.0,5
25:19.6,e2001d8712401320d4a0,2,-49,"174
",07:57.0,5
25:19.7,e2001d8712401320d4a0,2,-49,"174
",07:57.0,5
25:19.7,e2001d8712401320d4a0,2,-49,"174
",07:57.1,5
25:19.7,e2001d8712401320d4a0,2,-49,"174
",07:57.1,5
25:19.8,e2001d8712401320d4a0,2,-50,"174
",07:57.2,5
25:19.8,e2001d8712401320d4a0,2,-50,"171
",07:57.2,5
25:19.9,e2001d8712401320d4a0,2,-50,"171
",07:57.2,5
25:19.9,e2001d8712401320d4a0,2,-49,"171
",07:57.3,5
25:20.0,e2001d8712401320d4a0,2,-49,"174
",07:57.3,5
25:20.0,e2001d8712401320d4a0,2,-49,"168
",07:57.4,5
25:20.1,e2001d8712401320d4a0,2,-49,"177
",07:57.5,5
25:20.2,e2001d8712401320d4a0,2,-49,"168
",07:57.5,5
25:20.2,e2001d8712401320d4a0,2,-49,"174
",07:57.6,5
25:20.2,e2001d8712401320d4a0,2,-49,"174
",07:57.6,5
25:20.2,e2001d8712401320d4a0,2,-49,"174
",07:57.6,5
25:20.3,e2001d8712401320d4a0,2,-49,"171
",07:57.7,5
25:20.3,e2001d8712401320d4a0,2,-49,"174
",07:57.7,5
