time,id,id_num,RSSI,phase,,activity,,,,,,,,,,,,,,,,
05:18.0,e2001d8712401320d4a0,2,-52,"171
",00:14.7,,,,,,,,,,,,,,,,,
05:18.1,e2001d8712461320db93,3,-50,"174
",00:14.7,,,,,,,,,,,,,,,,,
05:18.1,e2001d8712171320c120,1,-55,"174
",00:14.7,,,,,,,,,,,,,,,,,
05:18.1,e2001d8712171320c120,1,-55,"174
",00:14.7,,,,,,,,,,,,,,,,,
05:18.1,e2001d8712461320db93,3,-51,"171
",00:14.7,,,,,,,,,,,,,,,,,
05:18.1,e2001d8712401320d4a0,2,-56,"174
",00:14.7,,,,,,,,,,,,,,,,,
05:18.1,e2001d8712461320db93,3,-51,"171
",00:14.7,,,,,,,,,,,,,,,,,
05:18.1,e2001d871271320b9f,4,-51,"171
",00:14.7,,,,,,,,,,,,,,,,,
05:18.1,e2001d8712171320c120,1,-53,"174
",00:14.7,,,,,,,,,,,,,,,,,
05:18.1,e2001d8712171320c120,1,-53,"171
",00:14.7,,,,,,,,,,,,,,,,,
05:19.1,e2001d8712171320c120,1,-53,"171
",00:15.8,,,,,,,,,,,,,,,,,
05:19.1,e2001d8712401320d4a0,2,-52,"168
",00:15.8,,,,,,,,,,,,,,,,,
05:19.2,e2001d8712401320d4a0,2,-52,"171
",00:15.8,,,,,,,,,,,,,,,,,
05:19.2,e2001d8712461320db93,3,-50,"0
",00:15.8,,,,,,,,,,,,,,,,,
05:19.2,e2001d871271320b9f,4,-52,"171
",00:15.9,,,,,,,,,,,,,,,,,
05:19.3,e2001d8712171320c120,1,-53,"171
",00:15.9,,,,,,,,,,,,,,,,,
05:19.3,e2001d8712461320db93,3,-50,"174
",00:16.0,,,,,,,,,,,,,,,,,
05:19.4,e2001d8712171320c120,1,-53,"171
",00:16.0,,,,,,,,,,,,,,,,,
05:19.8,e2001d871271320b9f,4,-56,"171
",00:16.4,,,,,,,,,,,,,,,,,
05:19.8,e2001d8712171320c120,1,-55,"174
",00:16.4,,,,,,,,,,,,,,,,,
05:19.8,e2001d8712401320d4a0,2,-57,"171
",00:16.5,,,,,,,,,,,,,,,,,
05:19.9,e2001d8712401320d4a0,2,-57,"168
",00:16.5,,,,,,,,,,,,,,,,,
05:20.0,e2001d8712461320db93,3,-51,"168
",00:16.6,,,,,,,,,,,,,,,,,
05:20.0,e2001d8712401320d4a0,2,-57,"171
",00:16.6,,,,,,,,,,,,,,,,,
05:20.2,e2001d8712401320d4a0,2,-56,"171
",00:16.8,,,,,,,,,,,,,,,,,
05:20.7,e2001d871271320b9f,4,-57,"168
",00:17.3,,,,,,,,,,,,,,,,,
05:21.0,e2001d8712171320c120,1,-55,"174
",00:17.6,,,,,,,,,,,,,,,,,
05:20.4,e2001d8712461320db93,3,-50,"174
",00:17.1,,,,,,,,,,,,,,,,,
05:20.5,e2001d871271320b9f,4,-55,"174
",00:17.1,,,,,,,,,,,,,,,,,
05:20.5,e2001d8712171320c120,1,-55,"174
",00:17.2,,,,,,,,,,,,,,,,,
05:20.5,e2001d871271320b9f,4,-56,"174
",00:17.2,,,,,,,,,,,,,,,,,
05:20.6,e2001d8712401320d4a0,2,-56,"174
",00:17.3,,,,,,,,,,,,,,,,,
05:20.7,e2001d8712461320db93,3,-51,"174
",00:17.3,,,,,,,,,,,,,,,,,
05:20.8,e2001d8712401320d4a0,2,-56,"174
",00:17.4,,,,,,,,,,,,,,,,,
05:20.8,e2001d8712461320db93,3,-51,"174
",00:17.4,,,,,,,,,,,,,,,,,
